X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ]
8.58023986e-02, 2.06524995e-03, 6.78338984e-04, -1.24903793e+01, 4.78073692e+00
8.85923579e-02, 1.15911001e-02, 6.78930548e-04, -4.72006321e+00, 3.19712791e+01
9.13823172e-02, 2.11169496e-02, 6.79522112e-04, -2.78455448e+00, 3.20047264e+01
9.41722766e-02, 3.06428000e-02, 6.80113677e-04, -7.49071503e+00, 3.21107101e+01
9.69622359e-02, 4.01686504e-02, 6.80705241e-04, -8.86831188e+00, 3.21437378e+01
9.97521952e-02, 4.96945009e-02, 6.81296806e-04, -8.44942474e+00, 3.21592255e+01
1.02542154e-01, 5.92203513e-02, 6.81888370e-04, -8.69337177e+00, 3.21538963e+01
1.05332114e-01, 6.87462017e-02, 6.82479935e-04, -8.18643284e+00, 3.21465340e+01
1.08122073e-01, 7.82720521e-02, 6.83071499e-04, -6.76850700e+00, 3.21189232e+01
1.10912032e-01, 8.77979025e-02, 6.83663064e-04, -6.16691160e+00, 3.21069984e+01
